title,company,location,job_type,salary_min,salary_max,currency,salary_disclosed,posted_date,url,source,scraped_at
Customer Care Representative,Cakes and Cream,Lagos,Full Time,150000.0,250000.0,NGN,True,,https://www.jobberman.com/listings/customer-care-representative-qzz604,jobberman,2026-05-24T20:46:34.035418
Head of Business Development and Marketing,Technical Services and Equipment Solutions Ltd,Abuja,Full Time,400000.0,600000.0,NGN,True,,https://www.jobberman.com/listings/head-of-business-development-and-marketing-9kkgk5,jobberman,2026-05-24T20:46:34.035418
Assistant General Manager,Boston Hills Resort and Hotel,Rest of Nigeria (Anambra),Full Time,,,,False,,https://www.jobberman.com/listings/assistant-general-manager-j66zqe,jobberman,2026-05-24T20:46:34.035418
Sales Executive,OnCre,Lagos,Full Time,150000.0,250000.0,NGN,True,,https://www.jobberman.com/listings/sales-executive-gmw252,jobberman,2026-05-24T20:46:34.035418
Business Growth Coordinator,Anonymous Employer,Lagos,Full Time,250000.0,400000.0,NGN,True,,https://www.jobberman.com/listings/business-growth-coordinator-j66xwr,jobberman,2026-05-24T20:46:34.035418
Video Editor and Graphic Designer,Softlab Digital,Remote,Full Time,250000.0,400000.0,NGN,True,,https://www.jobberman.com/listings/motion-video-editor-graphic-designer-gmm4x8,jobberman,2026-05-24T20:46:34.035418
Business Manager,Riverside Schools,Lagos,Full Time,400000.0,600000.0,NGN,True,,https://www.jobberman.com/listings/business-manager-x88wrw,jobberman,2026-05-24T20:46:34.035418
Merchant Acquisition Executive,Anonymous Employer,Abuja,Full Time,250000.0,400000.0,NGN,True,,https://www.jobberman.com/listings/merchant-acquisition-executive-2kk8zg,jobberman,2026-05-24T20:46:34.035418
Chief Product Officer,Anonymous Employer,Lagos,Full Time,1200000.0,1500000.0,NGN,True,,https://www.jobberman.com/listings/chief-product-officer-n997rm,jobberman,2026-05-24T20:46:34.035418
Content Creator,Touchshine Africa Limited,Lagos,Full Time,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/content-creator-n997w9,jobberman,2026-05-24T20:46:34.035418
Product Manager,Lumbercraft Ltd,Lagos,Full Time,,,,False,,https://www.jobberman.com/listings/product-manager-7jjpg8,jobberman,2026-05-24T20:46:34.035418
Driver,Daouns Nigeria Limited,Lagos,Full Time,,,,False,,https://www.jobberman.com/listings/driver-err9x6,jobberman,2026-05-24T20:46:34.035418
Head of Sales,P. Petrop Solutions Limited,Lagos,Full Time,900000.0,1200000.0,NGN,True,,https://www.jobberman.com/listings/head-of-sales-pgggvw,jobberman,2026-05-24T20:46:34.035418
Non-Executive Director,Inner Konsult Ltd,Rest of Nigeria (Akwa Ibom),Full Time,,,,False,,https://www.jobberman.com/listings/non-executive-director-n999qk,jobberman,2026-05-24T20:46:34.035418
"General Manager, Operations",Inner Konsult Ltd,Rest of Nigeria (Akwa Ibom),Full Time,,,,False,,https://www.jobberman.com/listings/general-manager-operations-9kkkv6,jobberman,2026-05-24T20:46:34.035418
Receptionist,Oak and Ebony Investment Limited,Lagos,Full Time,150000.0,250000.0,NGN,True,,https://www.jobberman.com/listings/receptionist-n999qg,jobberman,2026-05-24T20:46:34.035418
Project Architect Facilitator,G.O.A Group,Abuja,Full Time,150000.0,250000.0,NGN,True,,https://www.jobberman.com/listings/project-architect-facilitator-m000mw,jobberman,2026-05-24T20:46:34.035418
Cashier,80/20 Burgers and Fries,Lagos,Full Time,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/cashier-vdddp8,jobberman,2026-05-24T20:46:34.035418
Kitchen Assistant,80/20 Burgers and Fries,Lagos,Full Time,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/kitchen-assistant-7jjj7z,jobberman,2026-05-24T20:46:34.035418
Assistant Restaurant Manager,80/20 Burgers and Fries,Lagos,Full Time,250000.0,400000.0,NGN,True,,https://www.jobberman.com/listings/assistant-restaurant-manager-6qqq6j,jobberman,2026-05-24T20:46:34.035418
General Manager,Naphtali Elegant Rentals,Abuja,Full Time,,,,False,,https://www.jobberman.com/listings/general-manager-x88p5m,jobberman,2026-05-24T20:46:34.035418
Facility Manager,Anonymous Employer,Abuja,Full Time,,,,False,,https://www.jobberman.com/listings/facility-manager-rrr8gm,jobberman,2026-05-24T20:46:34.035418
Bar/Lounge Supervisor,KeiOyi Investments Limited,Port Harcourt & Rivers State,Full Time,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/barlounge-supervisor-k77808,jobberman,2026-05-24T20:46:34.035418
Sales Executive,Touchshine Africa Limited,Lagos,Full Time,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/sales-executive-rrr8n5,jobberman,2026-05-24T20:46:34.035418
Accessability Tester,Offpista Ltd,Remote,Full Time,150000.0,250000.0,NGN,True,,https://www.jobberman.com/listings/accessability-tester-0kk7nw,jobberman,2026-05-24T20:46:34.035418
Sales Associate,Wren Regent Properties Limited,Lagos,Full Time,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/real-estate-sales-associate-z8p5vn,jobberman,2026-05-24T20:46:34.035418
Sales & Customer Service Representative,Ify Klozet & Fashion,Lagos,Full Time,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/sales-customer-service-representative-8mmnz4,jobberman,2026-05-24T20:46:34.035418
Sales/Customer Service Specialist,Metropromovers LTD,Lagos,Full Time,250000.0,400000.0,NGN,True,,https://www.jobberman.com/listings/salescustomer-service-specialist-wrrk96,jobberman,2026-05-24T20:46:34.035418
Business Development Executive,MAPLESGATE LIMITED,Lagos,Full Time,150000.0,250000.0,NGN,True,,https://www.jobberman.com/listings/business-development-executive-pgg8e2,jobberman,2026-05-24T20:46:34.035418
Administrative Officer,Excel and Grace Consulting,Lagos,Full Time,250000.0,400000.0,NGN,True,,https://www.jobberman.com/listings/administrative-officer-k7706p,jobberman,2026-05-24T20:46:34.035418
Chemical Scientist,Daily Laundry and Dry Cleaning Services,Abeokuta & Ogun State,Full Time,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/chemical-scientist-gmm8wr,jobberman,2026-05-24T20:46:34.035418
Mechanical Engineer,Work Evolve Limited,Lagos,Full Time,600000.0,900000.0,NGN,True,,https://www.jobberman.com/listings/mechanical-engineer-wrre2z,jobberman,2026-05-24T20:46:34.035418
Fashion Academy Operation Officer,StyledByLayo,Lagos,Full Time,150000.0,250000.0,NGN,True,,https://www.jobberman.com/listings/fashion-academy-operation-officer-6qqv4z,jobberman,2026-05-24T20:46:34.035418
Sales & Digital Growth Manager,Stargem Properties and Estate Development Ltd,Port Harcourt & Rivers State,Full Time,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/sales-digital-growth-manager-errxmx,jobberman,2026-05-24T20:46:34.035418
Creative Intern,StyledByLayo,Lagos,Internship & Graduate,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/creative-intern-m00j9m,jobberman,2026-05-24T20:46:34.035418
Car Wash Manager,Banky J Petroleum Limited,Lagos,Full Time,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/car-wash-manager-7jj09m,jobberman,2026-05-24T20:46:34.035418
Customer Service Officer,StyledByLayo,Lagos,Full Time,150000.0,250000.0,NGN,True,,https://www.jobberman.com/listings/customer-service-officer-z88r08,jobberman,2026-05-24T20:46:34.035418
Health and Safety Officer,FULLMARK GROUP OF COMPANIES,Rest of Nigeria (Kano),Full Time,250000.0,400000.0,NGN,True,,https://www.jobberman.com/listings/health-and-safety-officer-0kk8qm,jobberman,2026-05-24T20:46:34.035418
Electrical Engineer,FULLMARK GROUP OF COMPANIES,Rest of Nigeria (Kano),Full Time,250000.0,400000.0,NGN,True,,https://www.jobberman.com/listings/electrical-engineer-wrrnqz,jobberman,2026-05-24T20:46:34.035418
Rice Milling Operator,FULLMARK GROUP OF COMPANIES,Rest of Nigeria (Kano),Full Time,150000.0,250000.0,NGN,True,,https://www.jobberman.com/listings/rice-milling-operator-qzzwp7,jobberman,2026-05-24T20:46:34.035418
Milling Supervisor,FULLMARK GROUP OF COMPANIES,Rest of Nigeria (Kano),Full Time,250000.0,400000.0,NGN,True,,https://www.jobberman.com/listings/milling-supervisor-8mmkq4,jobberman,2026-05-24T20:46:34.035418
Accountant,Noble Grace Logistics Ltd.,Lagos,Full Time,150000.0,250000.0,NGN,True,,https://www.jobberman.com/listings/accountant-z88r6k,jobberman,2026-05-24T20:46:34.035418
Mid-Level QA Engineer,Kenkeputa,Remote,Full Time,250000.0,400000.0,NGN,True,,https://www.jobberman.com/listings/mid-level-qa-engineer-kenkeputa-x88gez,jobberman,2026-05-24T20:46:34.035418
DevOps Engineer,Kenkeputa,Remote,Full Time,250000.0,400000.0,NGN,True,,https://www.jobberman.com/listings/mid-level-devops-engineer-kenkeputa-4550qp,jobberman,2026-05-24T20:46:34.035418
Accountant/Account Officer,Winnyz Catering,Lagos,Full Time,150000.0,250000.0,NGN,True,,https://www.jobberman.com/listings/accountantaccount-officer-rrr6qq,jobberman,2026-05-24T20:46:34.035418
R & A Technician,TF Cameron Court Ltd,Lagos,Full Time,150000.0,250000.0,NGN,True,,https://www.jobberman.com/listings/r-a-technician-x88wd2,jobberman,2026-05-24T20:46:34.035418
Plumbing Technician,TF Cameron Court Ltd,Lagos,Full Time,150000.0,250000.0,NGN,True,,https://www.jobberman.com/listings/plumbing-technician-qzz9pp,jobberman,2026-05-24T20:46:34.035418
"General Manager, Sales, & Marketing",Platinum Edge Consulting,Abuja,Full Time,5000000.0,5000000.0,NGN,True,,https://www.jobberman.com/listings/general-manager-sales-marketing-real-estate-development-8mmpg9,jobberman,2026-05-24T20:46:34.035418
Human Resource Lead,Brain and Structure Limited,Abuja,Full Time,250000.0,400000.0,NGN,True,,https://www.jobberman.com/listings/human-resource-lead-wrrr40,jobberman,2026-05-24T20:46:34.035418
Live Stream Anchor,"Foshan Jieko Machinery Equipment Co., Ltd.",Lagos,Full Time,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/video-social-media-live-stream-anchor-qz28j6,jobberman,2026-05-24T20:46:34.035418
Biology Teacher,Emovet Group of Schools,Lagos,Full Time,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/biology-teacher-2kkkmq,jobberman,2026-05-24T20:46:34.035418
Driver,Damiltec Nig. Enterprises,Lagos,Full Time,250000.0,400000.0,NGN,True,,https://www.jobberman.com/listings/driver-8mmm0x,jobberman,2026-05-24T20:46:34.035418
Project Manager,Damiltec Nig. Enterprises,Lagos,Full Time,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/ngo-project-manager-n99pwe,jobberman,2026-05-24T20:46:34.035418
Content Marketer,iLotBet,Lagos,Full Time,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/content-marketer-on-site-errvg5,jobberman,2026-05-24T20:46:34.035418
Nail Technician,Wheatbaker Investments & Properties Limited,Lagos,Full Time,250000.0,400000.0,NGN,True,,https://www.jobberman.com/listings/nail-technician-j66648,jobberman,2026-05-24T20:46:34.035418
House Help,Lick Fingers Calabar Restaurant,Lagos,Full Time,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/kitchen-assistant-6qqd0d,jobberman,2026-05-24T20:46:34.035418
Kitchen Assistant,Awameal Ltd,Imo,Full Time,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/kitchen-assistant-gmmwve,jobberman,2026-05-24T20:46:34.035418
Marketing Officer,PEPHLA,Port Harcourt & Rivers State,Full Time,70000.0,150000.0,NGN,True,,https://www.jobberman.com/listings/marketing-officer-d99k2m,jobberman,2026-05-24T20:46:34.035418
Project Manager,Valjes Properties,Lagos,Full Time,250000.0,400000.0,NGN,True,,https://www.jobberman.com/listings/project-manager-civil-or-building-engineering-background-n99pd9,jobberman,2026-05-24T20:46:34.035418
Accountant,Valjes Properties,Lagos,Full Time,250000.0,400000.0,NGN,True,,https://www.jobberman.com/listings/accountant-0kk72w,jobberman,2026-05-24T20:46:34.035418
